id_work;isAir;idAir;title;line;best-candidate-title;
1099;1;1;AIR de l’Ours et le Pacha.;288;AIR de l'Ours et le Pacha.
1099;1;2;AIR : Comme il m’aimait !;548;AIR : Accourez tous, venez m'entendre.
1099;1;3;AIR du Crédit et de la Fortune.;636;AIR : Adieu bonheur.
1099;1;4;CHŒUR.=AIR de la Barrière du Combat.;713;AIR de la Barrière du Combat.
1099;1;5;AIR : Sous vot’ bon plaisir, monseigneur.;806;AIR : Adieu bonheur.
1099;1;6;AIR du Vaudeville du Charlatanisme.;940;AIR du Vaudeville des Couturières.
1099;1;7;AIR du Vaudeville de Haine aux hommes.;1029;AIR du Vaudeville de Haine aux hommes.
1099;1;8;AIR de Figaro.;1307;AIR de Figaro du Barbier de Séville.
1099;1;9;AIR : C’est moi ! (de Léocadie.);1470;AIR : Adieu bonheur.
1099;1;10;AIR : Le luth galant.;1744;AIR : Loin de l'éclat du diadème.
1099;1;11;AIR de la Servante justifiée.;1813;AIR de la Servante justifiée.
1099;1;12;AIR du premier Prix.;2052;AIR du Premier Prix.
1099;1;13;CHŒUR.=AIR : Entrée du roi au troisième acte du Hussard.;2176;AIR : Adieu bonheur.
1099;1;14;AIR : Sortez, sortez ! (de la Fiancée.);2702;AIR : Sortez, sortez ! (de la Fiancée).
1099;0;;CHŒUR DES HOMMES D’ARMES.;2723;;
1099;1;15;CHŒUR. (du Comte Ory.);2802;AIR du chœur du Comte Ory.
1099;1;16;AIR de Caleb.;2928;AIR de Caleb.
1099;1;17;AIR : Un homme pour faire un tableau.;3054;AIR : Un homme pour faire un tableau.
1099;1;18;CHŒUR.=AIR de Doche.;3148;AIR d'Arwed de Doche.
1099;1;19;CHŒUR.=De Brulard, compagnons fidelles,;3431;AIR : Duo de Marie.
1099;1;20;AIR de Marianne.;3609;AIR de Marianne.
1099;1;21;AIR : Mon mari m’appelle, je gage.;3762;AIR : Mon mari m'appelle, je gage.
1099;1;22;AIR : Fragment de la Gazza. (Marie Mignot.);4155;AIR : Adieu bonheur.
1099;1;23;AIR : Un jeune grec.;4557;AIR : Un jeune Grec.
1099;1;24;AIR : De Brulard, la troupe fidèle, etc.;4591;AIR : De Brulard, la troupe fidèle, etc.
