1031;1;AIR du Verre.;230;AIR du Verre.;1
1031;2;AIR du Vétéran.;254;AIR du Vétéran.;1
1031;3;Air du Vaudeville de l’Apothicaire.;304;Air du Vaudeville de l'Apothicaire.;1
1031;4;AIR : Comme il m’aimait !;393;AIR : Comme il m'aimait !;1
1031;5;AIR : Moi, je flâne.;419;AIR : Moi, je flâne.;1
1031;6;AIR : De cet amour vif et soudain.;517;AIR : De cet amour vif et soudain.;1
1031;7;Air de la Vieille.;684;AIR de la Vieille.;1
1031;8;Air de Marianne.;926;AIR de Marianne.;1
1031;9;Air : Tout comme a fait mon père.;1069;Air : Tout comme a fait mon père.;1
1031;10;AIR : Ah ! bravo ! Figaro !;1128;AIR : Ah ! bravo ! Figaro !;1
1031;11;AIR de Partie et Revanche.;1205;AIR de Partie et Revanche.;1
1031;12;Air d’Yelva.;1349;AIR d'Yelva.;1
1031;13;AIR du Zéphir.;1364;AIR du Zéphir.;1
1031;14;CHŒUR.=AIR : Tra, la, la.;1407;AIR : Tra, la, la.;1
1031;;CHŒUR.;1436;;0
1031;15;AIR : Marche de la Muette.;1787;AIR : Marche de la Muette.;1
1031;;CHŒUR.;1789;;0
1031;;CHŒUR.;1803;;0
1031;16;Air : Oui, toujours, toujours, etc.;1865;AIR : Oui, toujours, toujours, etc.;1
1031;17;AIR : L’Enfer vous demande.;2010;AIR : L'Enfer vous demande.;1
1031;18;AIR : Pourquoi me réveiller ?;2035;AIR : Pourquoi me réveiller ?;1
1031;19;AIR du vaudeville de la Haine d’une femme.;2150;AIR du Vaudeville de la Haine d'une femme.;1
1031;20;Air du Vaudeville des Élèves peintres.;2402;Air du Vaudeville des Élèves peintres.;1
1031;21;AIR : clic, clic, clac, clac.;2527;AIR : clic, clic, clac, clac.;1
1031;22;AIR de la Monaco.;2570;AIR de la Monaco.;1
1031;23;Air du Vaudeville du jour des Noces.;2659;Air du Vaudeville du jour des Noces.;1
1031;24;AIR : Liberté sainte, après trente ans d’absence.;2692;AIR:Libertésainte,aprèstrenteansd'absence.;1
1031;25;AIR : Contentons-nous d’une simple bouteille.;2725;AIR : Contentons-nous d'une simple bouteille.;1
1031;26;AIR : Restez, restez, troupe jolie.;2782;AIR : Restez, restez, troupe jolie.;1
1031;27;AIR : Merveilleuse dans ses vertus.;2798;AIR : Merveilleuse dans ses vertus.;1
1031;28;CHŒUR.=Air : De monsieur Jean que le bonheur s’apprête ! (de Jean de Paris.);2887;Air : De monsieur Jean que le bonheur s'apprête ! (de Jean de Paris.);1
1031;29;AIR : Et voilà comme tout s’arrange.;2961;AIR : Et voilà comme tout s'arrange !;1
1031;30;AIR : Grace au vent.;2995;AIR : Grace au vent.;1
1031;31;AIR du Vaudeville de Michel et Christine,;3032;AIR du Vaudeville de Michel et Christine.;1
1031;32;AIR :=Bonne année, bonne année !;3059;AIR : Bonne année, bonne année !;1
1031;33;AIR : Soldat français né d’obscurs laboureurs.;3147;AIR : Soldat français né d'obscurs laboureurs.;1
1031;;CHŒUR.;3159;;0
